기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,missing_feature_count,all_feature_null,too_many_missing_features,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
플렉스컴,065270,00364926,2015,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2016,2016-04-12,폐지사유: 자본전액잠식,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\플렉스컴\2015\065270__플렉스컴__2015__11011.json
녹원씨엔아이,065560,00393469,2023,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2024,2024-07-29,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\녹원씨엔아이\2023\065560__녹원씨엔아이__2023__11011.json
제낙스,065620,00201788,2020,상폐기업,OFS,True,1,상폐기업,False,4,False,False,2021,2021-08-09,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\제낙스\2020\065620__제낙스__2020__11011.json
바이오빌,065940,00155382,2019,상폐기업,,False,1,상폐기업,False,30,True,True,2020,2020-07-31,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\바이오빌\2019\065940__바이오빌__2019__11011.json
한프,066110,00226228,2021,상폐기업,CFS,True,1,상폐기업,False,0,False,False,2022,2022-04-06,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한프\2021\066110__한프__2021__11011.json
SK컴즈,066270,00361725,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-02-27,폐지사유: 상장폐지신청('17.02.07),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\SK컴즈\2016\066270__SK컴즈__2016__11011.json
케이엔씨글로벌,068150,00394778,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-03-07,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\케이엔씨글로벌\2016\068150__케이엔씨글로벌__2016__11011.json
LG생명과학,068870,00423609,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-01-17,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\LG생명과학\2016\068870__LG생명과학__2016__11011.json
유한코스메틱,069110,00402989,2022,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2023,2023-10-20,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\유한코스메틱\2022\069110__유한코스메틱__2022__11011.json
에이팸,073070,00235147,2020,상폐기업,CFS,True,1,상폐기업,False,0,False,False,2021,2021-06-04,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에이팸\2020\073070__에이팸__2020__11011.json
