종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
388800,01569838,유진기업인수목적7호,2024,20240702,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
386580,01572489,한화플러스제2호기업인수목적,2024,20240617,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
391060,01573974,엔에이치기업인수목적20호,2024,20240514,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
393360,01574760,신한제8호기업인수목적,2024,20240430,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
396770,01576713,엔에이치기업인수목적22호,2023,20230428,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
397500,01580178,대신밸런스제11호기업인수목적,2023,20230309,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
397880,01582228,교보11호기업인수목적,2024,20240325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
400560,01583397,하나금융20호기업인수목적,2023,20230919,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
400840,01586172,하이제7호기업인수목적,2024,20240726,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
404950,01591262,디비금융제10호기업인수목적,2024,20240104,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
405350,01591606,아이비케이에스제17호기업인수목적,2023,20231103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
406760,01593242,하나금융21호기업인수목적,2024,20241226,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
405640,01594764,신한제9호기업인수목적,2024,20240611,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
409570,01596665,한국제10호기업인수목적,2023,20230831,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
412930,01601286,미래에셋비전기업인수목적1호,2025,20250121,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
415580,01604371,상상인제3호기업인수목적,2024,20241204,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
