기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
지성이씨에스,138290,2018-08-22,상장폐지 신청('18.7.19),2018,
에임하이,043580,2018-08-10,감사의견거절(감사범위 제한),2018,
피엠디아카데미,144740,2018-08-07,지정자문인 선임계약 해지 후 30일이내 미체결(2018.07.24限),2018,
동부제4호스팩,230490,2018-07-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
신텍,099660,2018-07-09,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2018,
키움스팩4호,226850,2018-06-05,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
이베스트스팩3호,225440,2018-05-28,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
완리,900180,2018-05-23,감사의견거절(감사범위 제한),2018,
시냅스엠,246830,2018-05-14,감사의견 거절(계속기업 존속능력에 대한 불확실성),2018,
태경피엔에스,235090,2018-05-09,감사의견 거절(감사범위 제한),2018,
스틸플라워,087220,2018-05-08,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2018,
씨그널엔터테인먼트그룹,099830,2018-05-04,감사의견거절(감사범위 제한),2018,
에스엠로보틱스,252940,2018-04-25,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2018,
유디피,091270,2018-04-18,지정자문인 선임계약 해지 후 30일이내 미체결(2018.04.04限),2018,
유진스팩3호,221200,2018-04-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
교보5호스팩,223040,2018-03-30,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
케이비드림3호스팩,221950,2018-03-30,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
(주)배터리솔루션,199870,2018-03-28,지정자문인 선임계약 해지후 30일이내 미체결(18.3.14限),2018,
썬코어,051170,2018-03-15,'16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성),2018,
케이비제8호스팩,222390,2018-03-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
위노바,039790,2018-03-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2018,
한화에이스스팩2호,219860,2018-03-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
유안타제2호스팩,219960,2018-02-23,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
키움스팩3호,218710,2018-02-14,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
골든브릿지제3호스팩,219580,2018-02-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
엔에이치스팩7호,217810,2018-01-19,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
미래에셋제3호스팩,215750,2018-01-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
대우스팩3호,215580,2017-12-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
아이이,023430,2017-12-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2017,
캐로스,260490,2017-11-29,지정자문인 선임계약 해지 후 30일이내 미체결(2017.11.15限),2017,
SK1호스팩,207930,2017-11-06,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
골든브릿지제2호스팩,206660,2017-10-20,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
엔에이치SL스팩,207720,2017-10-16,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
중국원양자원,900050,2017-09-27,감사의견 의견거절,2017,
엔에스브이,095300,2017-09-12,"감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)",2017,
디피앤케이,189700,2017-08-31,지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限),2017,
대성합동지주,005620,2017-08-25,해산 사유 발생,2017,
다린,204690,2017-08-02,상장폐지 신청('17.07.28),2017,
하나머스트3호스팩,208870,2017-07-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
아시아퍼시픽15호,083620,2017-07-31,존속기간 만료,2017,
아스팩오일,232360,2017-07-25,지정자문인 선임계약 해지 후 30일이내 미체결(2017.07.11限),2017,
웨이포트,900130,2017-07-25,상장폐지 신청('17.06.22),2017,
비앤에스미디어,156170,2017-07-13,지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限),2017,
케이티비스팩1호,204650,2017-07-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
보루네오가구,004740,2017-07-05,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2017,
아시아퍼시픽14호,083610,2017-06-20,신청에 의한 상장폐지,2017,
아시아퍼시픽13호,083600,2017-06-15,신청에 의한 상장폐지,2017,
현대에이블스팩1호,204760,2017-06-15,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
아시아퍼시픽12호,083590,2017-06-15,신청에 의한 상장폐지,2017,
아시아퍼시픽11호,083580,2017-06-15,신청에 의한 상장폐지,2017,
아시아10호,083570,2017-06-15,신청에 의한 상장폐지,2017,
동북아11호선박투자,083360,2017-06-14,신청에 의한 상장폐지,2017,
동북아14호선박투자,083390,2017-06-14,신청에 의한 상장폐지,2017,
동북아10호선박투자,083350,2017-06-14,신청에 의한 상장폐지,2017,
금오하이텍,165270,2017-06-07,최종부도 발생,2017,
대우스팩2호,204440,2017-05-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2017,
에스에스컴텍,036500,2017-05-11,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2017,
