기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
알보젠코리아,002250,2019-05-20,지주회사(최대주주등)의 완전자회사화 등,2019,privatization
지노믹트리,228760,2019-03-27,코스닥시장 이전상장,2019,market_transfer
더블유게임즈,192080,2019-03-12,유가증권시장 상장,2019,market_transfer
원익테라세미콘,123100,2019-02-20,피흡수합병,2019,merge_or_spac
우리은행,000030,2019-02-13,지주회사(최대주주등)의 완전자회사화 등,2019,privatization
나무기술,167380,2018-12-11,피흡수합병,2018,merge_or_spac
본느,242420,2018-10-29,피흡수합병,2018,merge_or_spac
광주은행,192530,2018-10-26,지주회사(최대주주등)의 완전자회사화 등,2018,privatization
케이엠제약,237720,2018-09-28,피흡수합병,2018,merge_or_spac
한국비티비,219750,2018-09-21,코스닥시장 이전상장,2018,market_transfer
카카오M,016170,2018-09-18,피흡수합병,2018,merge_or_spac
인산가,062580,2018-09-11,피흡수합병,2018,merge_or_spac
디지캡,197140,2018-09-07,코스닥시장 이전상장,2018,market_transfer
오파스넷,173130,2018-08-24,코스닥시장 이전상장,2018,market_transfer
CJ E&M,130960,2018-07-18,피흡수합병,2018,merge_or_spac
SIMPAC Metal,090730,2018-07-17,피흡수합병,2018,merge_or_spac
하림홀딩스,024660,2018-07-16,피흡수합병,2018,merge_or_spac
도레이케미칼,008000,2018-03-20,지주회사(최대주주등)의 완전자회사화 등,2018,privatization
오스테오닉,226400,2018-02-22,코스닥시장 이전상장,2018,market_transfer
엔지켐생명과학,183490,2018-02-21,코스닥시장 이전상장,2018,market_transfer
패션플랫폼,256090,2018-02-13,피흡수합병,2018,merge_or_spac
아시아종묘,154030,2018-02-12,코스닥시장 이전상장,2018,market_transfer
셀트리온,068270,2018-02-09,유가증권시장 상장,2018,market_transfer
링크제니시스,219420,2018-02-05,코스닥시장 이전상장,2018,market_transfer
미래자원엠엘,233190,2017-12-28,피흡수합병,2017,merge_or_spac
SGA시스템즈,232290,2017-12-22,피흡수합병,2017,merge_or_spac
비디아이,148140,2017-11-09,코스닥시장 이전상장,2017,market_transfer
폴라리스세원,234100,2017-10-20,코스닥시장 이전상장,2017,market_transfer
한진피앤씨,061460,2017-09-29,피흡수합병,2017,merge_or_spac
세화피앤씨,085980,2017-09-19,피흡수합병,2017,merge_or_spac
킵스파마,256940,2017-09-06,코스닥시장 이전상장,2017,market_transfer
KB캐피탈,021960,2017-07-21,지주회사(최대주주등)의 완전자회사화 등,2017,privatization
KB손해보험,002550,2017-07-21,지주회사(최대주주등)의 완전자회사화 등,2017,privatization
카카오,035720,2017-07-10,유가증권시장 상장,2017,market_transfer
이엘피,063760,2017-04-06,코스닥시장 이전상장,2017,market_transfer
씨아이에스,144630,2017-01-20,피흡수합병,2017,merge_or_spac
코썬바이오,204990,2016-12-09,코스닥시장 이전상장,2016,market_transfer
유니온바이오메트릭스,203450,2016-12-07,코스닥시장 이전상장,2016,market_transfer
솔트웍스,222520,2016-12-05,피흡수합병,2016,merge_or_spac
퓨쳐켐,220100,2016-12-01,코스닥시장 이전상장,2016,market_transfer
엘앤케이바이오,156100,2016-11-30,코스닥시장 이전상장,2016,market_transfer
핸디소프트,220180,2016-11-24,코스닥시장 이전상장,2016,market_transfer
KB증권,003450,2016-11-01,지주회사(최대주주등)의 완전자회사화 등,2016,privatization
부산방직,025270,2016-08-18,피흡수합병,2016,merge_or_spac
알엔티엑스,123010,2016-07-20,코스닥시장 이전상장,2016,market_transfer
동서,026960,2016-07-15,유가증권시장 상장,2016,market_transfer
한국토지신탁,034830,2016-07-11,유가증권시장 상장,2016,market_transfer
모아라이프플러스,142760,2016-07-07,코스닥시장 이전상장,2016,market_transfer
정다운,224090,2016-06-29,피흡수합병,2016,merge_or_spac
알엔투테크놀로지,148250,2016-06-22,코스닥시장 이전상장,2016,market_transfer
삼목강업,158380,2016-04-21,피흡수합병,2016,merge_or_spac
닉스테크,063840,2016-04-12,피흡수합병,2016,merge_or_spac
예스티,122640,2015-12-16,코스닥시장 이전상장,2015,market_transfer
리드,197210,2015-11-20,코스닥시장 이전상장,2015,market_transfer
DXVX,180400,2015-11-20,코스닥시장 이전상장,2015,market_transfer
매직마이크로,127160,2015-11-19,코스닥시장 이전상장,2015,market_transfer
아이진,185490,2015-11-16,코스닥시장 이전상장,2015,market_transfer
엑시콘,092870,2015-10-22,코스닥시장 이전상장,2015,market_transfer
칩스앤미디어,094360,2015-08-05,코스닥시장 이전상장,2015,market_transfer
동성하이켐,013450,2015-07-20,피흡수합병,2015,merge_or_spac
경남은행,192520,2015-06-23,지주회사(최대주주등)의 완전자회사화 등,2015,privatization
베셀,177350,2015-06-19,코스닥시장 이전상장,2015,market_transfer
