experiment,threshold,precision,recall,f1,tp,fp,fn,tn
single_year_year_standardized,0.57,0.017341040462427744,0.6,0.033707865168539325,6,340,4,1823
single_year_year_standardized,0.58,0.01775147928994083,0.6,0.034482758620689655,6,332,4,1831
single_year_year_standardized,0.59,0.0182370820668693,0.6,0.035398230088495575,6,323,4,1840
single_year_year_standardized,0.6,0.018633540372670808,0.6,0.03614457831325301,6,316,4,1847
single_year_year_standardized,0.61,0.01892744479495268,0.6,0.03669724770642202,6,311,4,1852
single_year_year_standardized,0.62,0.01935483870967742,0.6,0.0375,6,304,4,1859
single_year_year_standardized,0.63,0.020202020202020204,0.6,0.03908794788273615,6,291,4,1872
single_year_year_standardized,0.64,0.020905923344947737,0.6,0.04040404040404041,6,281,4,1882
single_year_year_standardized,0.65,0.021352313167259787,0.6,0.041237113402061855,6,275,4,1888
single_year_year_standardized,0.66,0.02197802197802198,0.6,0.04240282685512368,6,267,4,1896
single_year_year_standardized,0.67,0.022388059701492536,0.6,0.04316546762589928,6,262,4,1901
single_year_year_standardized,0.68,0.023076923076923078,0.6,0.044444444444444446,6,254,4,1909
single_year_year_standardized,0.69,0.023715415019762844,0.6,0.045627376425855515,6,247,4,1916
single_year_year_standardized,0.7,0.024193548387096774,0.6,0.046511627906976744,6,242,4,1921
single_year_year_standardized,0.71,0.02100840336134454,0.5,0.04032258064516129,5,233,5,1930
single_year_year_standardized,0.72,0.021929824561403508,0.5,0.04201680672268908,5,223,5,1940
single_year_year_standardized,0.73,0.022321428571428572,0.5,0.042735042735042736,5,219,5,1944
single_year_year_standardized,0.74,0.02262443438914027,0.5,0.04329004329004329,5,216,5,1947
single_year_year_standardized,0.75,0.02336448598130841,0.5,0.044642857142857144,5,209,5,1954
single_year_year_standardized,0.76,0.024271844660194174,0.5,0.046296296296296294,5,201,5,1962
single_year_year_standardized,0.77,0.025510204081632654,0.5,0.04854368932038835,5,191,5,1972
single_year_year_standardized,0.78,0.026041666666666668,0.5,0.04950495049504951,5,187,5,1976
single_year_year_standardized,0.79,0.026455026455026454,0.5,0.05025125628140704,5,184,5,1979
