종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
053110,00000000,소리바다,2022,2022-09-07,폐지사유: 감사의견 거절(감사범위 제한),True
053330,00000000,영진코퍼레이션,2015,2015-04-23,폐지사유: 자본전액잠식,True
053590,00000000,한국테크놀로지,2024,2024-10-07,폐지사유: 해산사유 발생(파산선고),True
053660,00000000,현진소재,2022,2022-04-26,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
053740,00000000,국제엘렉트릭,2015,2015-02-10,폐지사유: 상장폐지 신청('15.01.15),True
053810,00000000,아이팩토리,2016,2016-09-19,폐지사유: 감사의견 거절(감사범위 제한 및 기업회계기준 위배),True
053870,00000000,GT&T,2015,2015-10-15,폐지사유: '14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,True
054340,00000000,피앤텔,2020,2020-05-21,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
056000,00000000,코원플레이,2023,2023-03-30,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),True
058220,00000000,아리온,2024,2024-05-03,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
058370,00000000,비엔씨컴퍼니,2017,2017-05-08,폐지사유: 감사범위제한으로 인한 한정의견,True
058420,00000000,제이웨이,2023,2023-04-14,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),True
058530,00000000,파나케이아,2024,2024-06-25,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
060300,00000000,레드로버,2022,2022-11-04,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,True
060910,00000000,프리젠,2017,2017-02-24,폐지사유: 최근 5사업연도 연속 영업손실 발생,True
062860,00000000,티엘아이,2024,2024-11-14,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
064510,00000000,유네코,2023,2023-01-17,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),True
065160,00000000,에프티이앤이,2019,2019-05-03,폐지사유: 감사의견 거절(감사범위 제한),True
065180,00000000,해피드림,2015,2015-05-04,폐지사유: 감사범위제한으로 인한 한정의견,True
065270,00000000,플렉스컴,2016,2016-04-12,폐지사유: 자본전액잠식,True
065560,00000000,녹원씨엔아이,2024,2024-07-29,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
065620,00000000,제낙스,2021,2021-08-09,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
065940,00000000,바이오빌,2020,2020-07-31,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
066110,00000000,한프,2022,2022-04-06,폐지사유: 감사의견 거절(감사범위 제한),True
066270,00000000,SK컴즈,2017,2017-02-27,폐지사유: 상장폐지신청('17.02.07),True
066350,00000000,티에스엠텍,2015,2015-05-20,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,True
068060,00000000,KCW,2015,2015-09-18,"폐지사유: 기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True
068150,00000000,케이엔씨글로벌,2017,2017-03-07,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
068870,00000000,LG생명과학,2017,2017-01-17,폐지사유: 해산 사유 발생,True
069110,00000000,유한코스메틱,2023,2023-10-20,폐지사유: 감사의견 거절(감사범위 제한),True
071930,00000000,에이스하이텍,2015,2015-07-10,폐지사유: 감사의견거절(감사범위 제한),True
073070,00000000,에이팸,2021,2021-06-04,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,True
074130,00000000,디아이디,2015,2015-07-23,"폐지사유: 기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True
074150,00000000,엠제이비,2016,2016-09-05,폐지사유: 감사의견거절(감사범위 제한),True
078650,00000000,지나인제약,2023,2023-07-21,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),True
078780,00000000,아이디에스,2016,2016-04-28,폐지사유: '14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,True
079660,00000000,사조해표,2019,2019-06-26,폐지사유: 해산 사유 발생,True
080440,00000000,에스제이케이,2021,2021-09-13,폐지사유: 해산사유 발생(파산선고),True
081210,00000000,아시아4호,2015,2015-01-20,폐지사유: 존속기간 만료,True
081930,00000000,아시아8호,2015,2015-02-17,폐지사유: 신청에 의한 상장폐지,True
081940,00000000,아시아9호,2015,2015-01-08,폐지사유: 존속기간 만료,True
081970,00000000,넥스지,2018,2018-10-11,폐지사유: 감사의견거절(감사범위제한),True
082220,00000000,프렉코,2015,2015-09-25,폐지사유: 지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2015.09.11限) 지정자문인 선임계약 미체결,True
082240,00000000,아시아5호,2015,2015-03-13,폐지사유: 신청에 의한 상장폐지,True
